Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
100004,100004,JOSEPH E LOWERY BLVD @ BECKWITH ST SW,-84417600,33752569,Sign Strapped to Pole,1;68,Atlanta
100006,100006,JOSEPH E LOWERY BLVD @ PARSONS ST SW,-84417762,33751251,Sign Strapped to Pole,1;68,Atlanta
100008,100008,JOSEPH E LOWERY BLVD @ ASHBY GRV SW,-84417604,33750004,Sign on Post,1;68,Atlanta
100010,100010,JOSEPH E LOWERY BLVD @ FAIR ST SW,-84417594,33749212,Sign Strapped to Pole,1;68,Atlanta
100012,100012,JOSEPH E LOWERY BLVD SW @ WESTVIEW DR SW,-84417615,33746833,Sign on Post,1;68,Atlanta
100014,100014,JOSEPH E LOWERY BLVD @ SELLS AVE SW,-84417784,33745587,Shelter,1;68,Atlanta
100016,100016,WEST END AVE SW @ ASHBY ST SW,-84417246,33744403,Sign on Post,68,Atlanta
100017,100017,WEST END AVE SW @ WELLBORN ST SW,-84415499,33744304,Sign on Post,68,Atlanta
100022,100022,W END AVE SW @ ASHBY ST SW,-84417367,33744570,Sign on Post,68,Atlanta
100024,100024,JOSEPH E LOWERY BLVD @ ATLANTA STUDENT MOVEMENT BLVD,-84417337,33749024,Sign on Post,1;68,Atlanta
100026,100026,JOSEPH E LOWERY BLVD @ PARSONS ST SW,-84417277,33750630,Sign on Post,1;68,Atlanta
100028,100028,JOSEPH E LOWERY BLVD @ BECKWITH ST SW,-84417322,33752027,Sign on Post,1;68,Atlanta
100030,100030,ATLANTA STUDENT MOVEMENT BLVD @ EUHRLEE ST SW,-84416015,33749264,Sign on Post,813,Atlanta
100032,100032,ATLANTA STUDENT MOVEMENT BLVD @ OGDEN ST SW,-84416809,33749236,Sign on Post,813,Atlanta
100035,100035,FAIR ST SW @ JOSEPH E LOWERY BLVD,-84418059,33748985,Sign on Post,813,Atlanta
100036,100036,FAIR ST SW @ ABBOTT ST SW,-84419167,33748959,Sign on Post,813,Atlanta
100038,100038,FAIR ST SW @ AGNES JONES PL SW,-84420273,33748981,Sign on Post,813,Atlanta
100040,100040,FAIR ST SW @ JOSE ST SW,-84421694,33748920,Sign on Post,813,Atlanta
100042,100042,FAIR ST SW @ LAWTON ST SW,-84423135,33749088,Sign on Post,813,Atlanta
