Stop ID,Stop Name,Location
510192,KU LAWRENCE - BECKER DRIVE #375,"(38.945608, -95.262773)"
3000096,ON ST JOHN AT KENSINGTON EASTBOUND,"(39.112806, -94.530418)"
1131512,ON LEAVENWORTH RD AT 89TH WB,"(39.143173, -94.784533)"
1230123,ON 23RD AT TOPPING EASTBOUND,"(39.083064, -94.515399)"
1012816,ON STATE AVE AT 94TH WESTBOUND,"(39.116511, -94.798117)"
3100020,ON 31ST AT PROSPECT WESTBOUND,"(39.069891, -94.552721)"
5700134,ON WORNALL AT S  WARD PKWY SOUTHBOUND,"(38.958987, -94.595871)"
231155,ON N BOARDWALK AT 8581 N BOARDWALK AVE EB,"(39.252374, -94.652843)"
2800010,ON BLUE RIDGE BLVD AT 112TH NB,"(38.919507, -94.510189)"
1520006,ON 350 HWY AT WESTRIDGE NORTHBOUND,"(38.974144, -94.441542)"
5461533,ON NIEMAN ROAD AT 62ND ST NB,"(39.016273, -94.714491)"
5100202,ON ROANOKE AT MERCIER NORTHBOUND,"(39.048438, -94.601789)"
26012,ON TROOST AT 82ND TERR SOUTHBOUND NEARSIDE,"(38.979596, -94.576339)"
25053,ON TROOST AT 61ST SOUTHBOUND,"(39.016731, -94.574434)"
403163,ON SANTA FE AT RIDGEVIEW WESTBOUND FARSIDE,"(38.883754, -94.798259)"
1210047,ON VAN BRUNT AT 8TH NORTHBOUND NEARSIDE,"(39.102521, -94.525846)"
282521,ON BLUE RIDGE BLVD AT 9301 BLUE RIDGE NORTHBOUND,"(38.955213, -94.506713)"
23515,ON 35TH AT CLEVELAND WESTBOUND,"(39.062246, -94.539234)"
2800080,ON BLUE RIDGE CUT OFF AT RAYTOWN RD NORTHBOUND,"(39.036262, -94.476426)"
2932,ON HWY 78 AT SPECK/PEMBROKE EB,"(39.079415, -94.362531)"
2400127,ON INDEPENDENCE AVE AT BRIGHTON EB,"(39.105285, -94.523259)"
113034,ON LEAVENWORTH RD  AT N  72ND ST  EASTBOUND,"(39.143066, -94.745768)"
5100064,ON BROADWAY AT 26TH NORTHBOUND FARSIDE,"(39.080858, -94.59165)"
1422501,ON N OAK AT 59TH TERR SB,"(39.201772, -94.576451)"
2460005,KCI AIRPORT TERMINAL C,"(39.293145, -94.71335)"
1060200,ON 34TH AT LAYFAYETTE SOUTHBOUND,"(39.130316, -94.668903)"
5400117,ON GILLHAM AT 31ST SOUTHBOUND,"(39.070925, -94.578987)"
2400041,ON INDEPENDENCE AVE AT WINNER WESTBOUND,"(39.104846, -94.508075)"
1022500,ON CENTRAL AT TREMONT EB,"(39.102687, -94.624525)"
556162,ON W 47TH AT JC NICHOLS WESTBOUND NEARSIDE,"(39.042317, -94.587911)"
2800321,ON BLUE RIDGE BLVD AT 81ST TERR. SOUTHBOUND,"(38.976096, -94.491444)"
175162,ON 95TH ST AT MISSION WESTBOUND NEARSIDE,"(38.956944, -94.629969)"
1750084,ON 75TH AT OAK EASTBOUND,"(38.991899, -94.585071)"
3700095,ON BURLINGTON AT 23RD AVE NORTHBOUND,"(39.145058, -94.580201)"
3700510,ON N OAK AT 74TH SB,"(39.228316, -94.576164)"
571730,ON STATE LINE BETWEEN BLUE RIDGE AND 133RD NB,"(38.888819, -94.607905)"
7100032,ON PROSPECT AT 57TH NORTHBOUND,"(39.022815, -94.555337)"
1200036,ON JACKSON AT 18TH NORTHBOUND,"(39.090074, -94.533341)"
390027,ON 40TH AT LAWNDALE WESTBOUND,"(39.051739, -94.518648)"
1020059,ON CENTRAL AT PYLE EASTBOUND,"(39.102517, -94.627529)"
38152,ON ANTIOCH AT ENGLEWOOD NB,"(39.195209, -94.548505)"
5610057,ON WORNALL AT 107TH SOUTHBOUND FARSIDE,"(38.934043, -94.596517)"
2960028,ON BLUE RIDGE BLVD AT FAIRLANE SOUTHBOUND,"(38.948378, -94.508193)"
3000016,ON ST JOHN AT BRIGHTON WESTBOUND,"(39.112647, -94.52327)"
24308,COURTESY ON PRAIRIEVIEW AT NORTHWOOD NB,"(39.203023, -94.631164)"
2912504,ON 24 HWY AT LIBERTY WB,"(39.101469, -94.41656)"
2700118,ON 27TH AT PROSPECT EASTBOUND,"(39.077047, -94.552618)"
5400174,ON PASEO AT 80TH SOUTHBOUND,"(38.98296, -94.567)"
2921513,ON CEDAR AT KENTUCKY NB,"(39.109994, -94.457633)"
2800252,ON PITTMAN AT 38TH TERRACE SOUTHBOUND,"(39.052945, -94.46149)"
7100148,ON PROSPECT AT 27TH SOUTHBOUND FARSIDE,"(39.076822, -94.552569)"
290107,ON BURLINGTON AT ARMOUR NORTHBOUND FARSIDE,"(39.141838, -94.580248)"
33,ON GRAND BLVD AT 3RD SOUTHBOUND,"(39.11041, -94.581069)"
1080128,ON INDIANA AT 35TH NORTHBOUND,"(39.062262, -94.543931)"
25200,ON TROOST AT 31ST NORTHBOUND,"(39.070419, -94.571257)"
1730701,ON FRONT ST AT OLIVE EB,"(39.12435, -94.554655)"
1060067,ON QUINDARO AT 18TH EASTBOUND,"(39.138624, -94.651117)"
2800093,ON 51ST AT WOODSON EASTBOUND,"(39.02942, -94.444188)"
7100194,ON PROSPECT AT GREGORY SOUTHBOUND FARSIDE,"(38.997915, -94.556972)"
5848,ON 12TH AT GRAND EASTBOUND,"(39.099812, -94.580764)"
401168,ON 119TH AT LOWELL WESTBOUND NEARSIDE,"(38.913022, -94.676932)"
5561534,SHAWNEE MISSION PKWY AT MISSION ROAD WB,"(39.029742, -94.626686)"
183151,INDEPENDENCE CENTER,"(39.04662, -94.359941)"
1211400,ON 45TH ST AT MYRTLE EB,"(39.044014, -94.538152)"
129009,ON EXECUTIVE HILLS BLVD AT TIFFANY SPRINGS PKWY SB,"(39.2749, -94.668282)"
5600073,ON WORNALL AT 87TH SOUTHBOUND,"(38.971134, -94.59531)"
85161,ON PASEO AT MEYER NORTHBOUND,"(39.012395, -94.56867)"
1060053,ON BROWN AT 32ND WESTBOUND,"(39.142976, -94.664187)"
113033,ON PROVIDENCE MEDICAL CTR DR  WESTBOUND,"(39.126336, -94.785912)"
150,INDEPENDENCE METROCENTER SOUTHSIDE,"(39.093755, -94.413661)"
1040069,ON 42ND AT STRONG NORTHBOUND,"(39.075003, -94.677122)"
403190,ON STRANG LINE RD AT RANDALL NORTHBOUND,"(38.922053, -94.758293)"
7100145,ON PROSPECT AT 24TH SOUTHBOUND,"(39.083225, -94.552292)"
2840032,ON NOLAND RD AT 44TH SOUTHBOUND,"(39.040741, -94.415444)"
1230124,ON PARK TOWER DR AT LAYOVER SB,"(39.086763, -94.512072)"
2803016,ON BLUE RIDGE BLVD AT CORRINGTON SOUTHBOUND,"(38.956461, -94.505158)"
229181,ON N AMBASSADOR AT 10383 N AMBASSADOR DRIVE NB,"(39.28027, -94.670116)"
542502,ON PASEO AT RACHEL MORADO 77TH NB,"(38.98712, -94.566242)"
5000,ON PARVIN AT 39TH WB,"(39.165053, -94.550522)"
1080243,ON INDIANA AT 43RD SOUTHBOUND,"(39.047962, -94.544804)"
282310,ON BLUE RIDGE BLVD AT SYCAMORE NORTHBOUND,"(38.929518, -94.50769)"
4700031,ON CLEAVER II BLVD AT 1526 CLEAVER II BLVD WB,"(39.042043, -94.56666)"
