OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
71382,Francisco St&Polk St NW-NS/BZ,FRANPOLK,,7529,37.803484,-122.423368,,BAY ST,POLK ST,,,,0,1724754766000,15655082,145,2,POINT (-122.423368 37.803484),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,4,6,32,107,107
69911,Lawton St&9th Ave SW-NS/PS,LAWT 9A0,LAWT 9AV,4855,37.75839,-122.46605,,09TH AVE,LAWTON ST,NS,SW,FL,0,1724754766000,15646291,145,7,POINT (-122.46605 37.75839),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,8,14,44,44
70173,Mansell St&Brussels St S-NS/PS,MANSBRU0,MANSBRUS,5338,37.720926,-122.40312399999999,,BRUSSELS ST,MANSELL ST,NS,SO,,0,1724754766000,15647071,145,9,POINT (-122.403124 37.720926),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,2,25,91,91
71037,Ocean Ave&Persia Ave SE-FS/PS,OCENPER1,OCENPERS,5801,37.723819999999996,-122.43589,,PERSIA AVE,OCEAN AVE,FS,SE,,0,1724754766000,15651692,145,11,POINT (-122.43589 37.72382),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,1,28,80,80
72278,Plymouth Ave&Mangels Ave SE-NS/SB,PLYMMAN1,PLYMMANG,5967,37.73209,-122.45765,,MANGELS AVE,PLYMOUTH AVE,NS,SE,,0,1724754766000,15652924,145,7,POINT (-122.45765 37.73209),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,8,41,70,70
69363,9th Ave&Lawton St NW-NS/RC,.9AVLAW0,9AVLAWT,3218,37.758533,-122.466022,,LAWTON ST,9TH AVE,NS,NW,Red Curb painted,1,1724754766000,15644344,145,7,POINT (-122.466022 37.758533),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,8,14,109,109
71103,Palou Ave&Quint St W-NS/PS,PALUQUN0,PALUQUNT,5882,37.737216,-122.396722,,QUINT ST,PALOU AVE,NS,WE,,0,1724754766000,15650259,145,10,POINT (-122.396722 37.737216),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,2,9,1,87,87
70367,Noe St&27th St SE-NS/PS,NOE 27S1,NOE 27ST,5733,37.746539999999996,-122.43132,,27TH ST,NOE ST,NS,SE,,0,1724754766000,15647858,145,8,POINT (-122.43132 37.74654),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,5,22,84,84
70511,Mission St&20th St NE-FS/BZ,MISS20S1,MISS20ST,5557,37.75911,-122.41902,,20TH ST,MISSION ST,FS,NE,BZ,1,1724754766000,15648156,145,9,POINT (-122.41902 37.75911),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,3,2,20,53,53
69470,36th Ave&Lincoln Way SE-NS/PS,36AVLWA1,36AVLWAY,3561,37.764556999999996,-122.495372,,LINCOLN WY,36TH AVE,NS,SE,,1,1724754766000,15644718,145,4,POINT (-122.495372 37.764557),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,7,35,39,39
71002,Market St&Clayton St N-FS/BZ,MRKTCLT1,MRKTCLTN,5663,37.758409,-122.44405499999999,1,CLAYTON ST,MARKET ST,FS,NE,,0,1724754766000,15650128,145,8,POINT (-122.444055 37.758409),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,3,5,5,115,115
71676,Moscow St&Avalon Ave E-NS/PS,MSCWAVLN,,7985,37.724278,-122.425285,,AVALON AVE,MOSCOW ST,,,,0,1724754766000,15655178,145,11,POINT (-122.425285 37.724278),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,1,7,90,90
70283,King St&2nd St S-FS/SI,KING.2S1,KING.2ST,5234,37.77972,-122.389872,1,2ND ST,KING ST,FS,SO,SI,0,1724754766000,15647525,145,6,POINT (-122.389872 37.77972),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,1,10,4,31,31
71521,Sutter St&Taylor St NW-FS/BZ,SUTTTAY0,SUTTTAYL,6612,37.788857,-122.411956,,TAYLOR ST,SUTTER ST,FS,NW,BZ,0,1724754766000,15650629,145,3,POINT (-122.411956 37.788857),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,21,50,50
