X,Y,OBJECTID,SignID,StopID,StopAbbr,StopName,OnSt,AtSt,Lines,Routes,StopPos,PrefTrans,Bench,Shelter,Transfer,ADA,PubWay,CountyCode,Juris,GPS_Lon,GPS_Lat,CountyName
-90.245546,38.694865,1,269,127,THEMSB,THEKLA @ EMERSON SB,THEKLA AVE,EMERSON AVE,41,3041,NS,NO,NO,NO,NO,NO,NO,29510,ST LOUIS CITY,-90.245546,38.694865,St. Louis
-90.276549,38.7268750000001,2,269,166,WFBWSB,WEST FLORISSANT @ BUZZ WESTFALL SB,W FLORISSANT AVE,PRIVATE,74,3074,NS,NO,NO,NO,NO,YES,YES,29189,JENNINGS,-90.276549,38.726875,St. Louis County
-90.300736,38.6496240000001,3,269,172,SKFPSB,SKINKER @ FOREST PARK PARKWAY SB,N SKINKER BLVD,FOREST PK PKWY,"1, 2, 5, 16","3001, 3002, 3005, 3016",NS,YES,YES,NO,YES,YES,YES,29510,ST LOUIS CITY,-90.300736,38.649624,St. Louis
-90.202342,38.6254510000001,4,269,249,CVTCLP,CIVIC CENTER TRANSIT CENTER,CIVIC CENTER METROBUS LOOP,,73,3073,,YES,YES,YES,YES,YES,YES,29510,ST LOUIS CITY,-90.202342,38.625451,St. Louis
-90.2820579999999,38.770546,5,269,269,PEWFWB,PERSHALL @ NORTH COUNTY FESTIVAL CENTER WB,PERSHALL RD,N COUNTY FESTIVAL CTR,74,3074,FS,NO,NO,NO,NO,YES,YES,29189,FERGUSON,-90.282058,38.770546,St. Louis County
-90.288557,38.770786,6,269,273,FVCCLP,STLCC FLORISSANT VALLEY,STLCC FLORISSANT VALLEY DRIVEWAY,,"74, 76, 79","3074, 3076, 3079",,NO,YES,YES,NO,YES,YES,29189,FERGUSON,-90.288557,38.770786,St. Louis County
-90.447131,38.7780460000001,7,269,314,BOINLP,175 BOULDER INDUSTRIAL,BOULDER INDUSTRIAL BUS LOOP,,100,3100,,NO,YES,YES,NO,NO,NO,29189,BRIDGETON,-90.447131,38.778046,St. Louis County
-90.43082,38.750125,8,269,315,DEPLSB,DEPAUL @ DEPAUL HOSPITAL SB,DE PAUL DR,DEPAUL HOSPITAL,"35, 100","3035, 3100",NS,NO,YES,YES,NO,YES,YES,29189,BRIDGETON,-90.43082,38.750125,St. Louis County
-90.453785,38.7630100000001,9,269,353,ATRTEB,ATHLETIC WAY @ RIDER TRAIL SOUTH EB,ATHLETIC WAY,RIDER TRL S,34,3034,FS,NO,NO,NO,NO,NO,YES,29189,EARTH CITY,-90.453785,38.76301,St. Louis County
-90.2659609999999,38.540064,10,269,393,CTLNLO,CATALAN TRANSIT CENTER,CATALAN TRANSIT CENTER,,9,3009,,YES,NO,NO,YES,YES,YES,29510,ST LOUIS CITY,-90.265961,38.540064,St. Louis
-90.228968,38.57998,11,269,394,BWGSNB,BROADWAY @ GASCONADE NB,S BROADWAY,GASCONADE ST,"8, 73","3008, 3073",NS,NO,NO,NO,NO,NO,YES,29510,ST LOUIS CITY,-90.228968,38.57998,St. Louis
-90.265932,38.5400460000001,12,269,412,CTLNLP,CATALAN TRANSIT CENTER,CATALAN TRANSIT CENTER,,8,3008,,YES,YES,YES,YES,YES,YES,29510,ST LOUIS CITY,-90.265932,38.540046,St. Louis
-90.291397,38.511486,13,269,414,TEBJSB,TELEGRAPH @ KINGSTON SB,TELEGRAPH RD,KINGSTON DR,9,3009,FS,NO,NO,NO,NO,NO,YES,29189,ST LOUIS COUNTY,-90.291397,38.511486,St. Louis County
-90.3293659999999,38.7995290000001,14,269,460,LISFWB,LINDBERGH @ ST. FERDINAND WB,N LINDBERGH BLVD,ST FERDINAND ST,77,3077,MB,NO,YES,YES,YES,YES,YES,29189,FLORISSANT,-90.329366,38.799529,St. Louis County
-90.2367169999999,38.626269,15,269,523,GRCHSB,GRAND @ CHOUTEAU SB        ,S GRAND BLVD,CHOUTEAU AVE,70,3070,NS,NO,NO,NO,YES,YES,YES,29510,ST LOUIS CITY,-90.236717,38.626269,St. Louis
-90.292245,38.701854,16,269,673,LUNBNB,LUCAS-HUNT @ NATURAL BRIDGE NB,LUCAS AND HUNT RD,NATURAL BRIDGE RD,64,3064,FS,NO,YES,YES,YES,YES,YES,29189,NORTHWOODS,-90.292245,38.701854,St. Louis County
-90.246369,38.563926,17,269,714,VBATNB,VIRGINIA @ BATES NB,VIRGINIA AVE,BATES ST,73,3073,FS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS CITY,-90.246369,38.563926,St. Louis
-90.246295,38.5645630000001,18,269,721,VIBASB,VIRGINIA @ BATES SB,VIRGINIA AVE,BATES ST,73,3073,NS,NO,NO,NO,NO,NO,NO,29510,ST LOUIS CITY,-90.246295,38.564563,St. Louis
-90.2759149999999,38.726591,19,269,731,WFBWNB,WEST FLORISSANT @ BUZZ WESTFALL PLAZA NB,W FLORISSANT AVE,BUZZ WESTFALL PLAZA,74,3074,NS,NO,NO,NO,NO,NO,YES,29189,JENNINGS,-90.275915,38.726591,St. Louis County
-90.199642,38.6320240000001,20,269,759,14WASB,14TH STREET @ WASHINGTON SB,N 14TH ST,WASHINGTON AVE,"41, 74","3041, 3074",FS,NO,NO,NO,YES,NO,YES,29510,ST LOUIS CITY,-90.199642,38.632024,St. Louis
-90.293892,38.564759,21,269,768,HAMPLP,HAMPTON-GRAVOIS TRANSIT CENTER,HAMPTON - GRAVOIS TRANSIT CENTER,,"10, 90, 95","3010, 3090, 3095",,YES,YES,YES,YES,YES,YES,29510,ST LOUIS CITY,-90.293892,38.564759,St. Louis
-90.294796,38.564039,22,269,791,GVHMWB,GRAVOIS @ HAMPTON WB,GRAVOIS AVE,GERMANIA ST,9,3009,FS,NO,NO,NO,YES,NO,YES,29510,ST LOUIS CITY,-90.294796,38.564039,St. Louis
-90.2785909999999,38.5812270000001,23,269,880,KIEINB,KINGSHIGHWAY @ EICHELBERGER NB,S KINGSHIGHWAY BLVD,EICHELBERGER ST,95,3095,FS,NO,NO,NO,NO,NO,NO,29510,ST LOUIS CITY,-90.278591,38.581227,St. Louis
-90.3010849999999,38.794858,24,269,1340,WFPKSB,WATERFORD @ PARKER SB,WATERFORD DR,PARKER RD,76,3076,FS,NO,NO,NO,NO,YES,YES,29189,FLORISSANT,-90.301085,38.794858,St. Louis County
-90.285285,38.6485480000001,25,269,1443,DEFPNB,DEBALIVIERE AVE @ FOREST PARK METROLINK NB,DE BALIVIERE AVE,FOREST PARK PKY,"90, 3602","3090, 3602",FS,YES,YES,YES,YES,YES,YES,29510,ST LOUIS CITY,-90.285285,38.648548,St. Louis
-90.2853699999999,38.6480260000001,26,269,1460,DEFPSB,DEBALIVIERE AVE @ FOREST PARK METROLINK SB,DE BALIVIERE AVE,FOREST PARK PKY,"90, 3602","3090, 3602",NS,YES,YES,YES,YES,YES,YES,29510,ST LOUIS CITY,-90.28537,38.648026,St. Louis
-90.208694,38.6319250000001,27,269,1561,OL20EB,OLIVE @ 20TH STREET EB,OLIVE ST,N 20TH ST,10,3010,FS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS CITY,-90.208694,38.631925,St. Louis
-90.1896619999999,38.6274260000001,28,269,1571,OLBWEB,OLIVE @ BROADWAY EB,OLIVE ST,N BROADWAY,40,3040,NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS CITY,-90.189662,38.627426,St. Louis
-90.196694,38.630502,29,269,1577,LOTKWB,LOCUST @ TUCKER WB,LOCUST ST,N TUCKER BLVD,"32, 40","3032, 3040",NS,NO,NO,NO,YES,YES,YES,29510,ST LOUIS CITY,-90.196694,38.630502,St. Louis
-90.1999509999999,38.6309660000001,30,269,1579,14LOSB,14TH STREET @ LOCUST SB,N 14TH ST,LOCUST ST,"32, 40, 41, 74","3032, 3040, 3041, 3074",NS,NO,YES,NO,YES,YES,YES,29510,ST LOUIS CITY,-90.199951,38.630966,St. Louis
-90.204076,38.628832,31,269,1587,MA16WB,MARKET @ 16TH STREET WB,MARKET ST,S 16TH ST,"4, 94","3004, 3094",FS,NO,YES,YES,NO,YES,YES,29510,ST LOUIS CITY,-90.204076,38.628832,St. Louis
-90.208674,38.629713,32,269,1589,MA20EB,MARKET @ 20TH STREET EB,MARKET ST,S 20TH ST,"4, 94","3004, 3094",FS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS CITY,-90.208674,38.629713,St. Louis
-90.203616,38.62859,33,269,1591,MA16EB,MARKET @ 16TH STREET EB,MARKET ST,S 16TH ST,"4, 94","3004, 3094",FS,NO,YES,YES,NO,YES,YES,29510,ST LOUIS CITY,-90.203616,38.62859,St. Louis
-90.199371,38.6372410000001,34,269,1609,CASEWB,CARR @ SELBY PLACE WB,N CARR DR,N SELBY PL,41,3041,NS,NO,NO,NO,NO,NO,YES,29510,ST LOUIS CITY,-90.199371,38.637241,St. Louis
-90.196363,38.617599,35,269,1624,CH7TEB,CHOUTEAU @ 7TH STREET EB,CHOUTEAU AVE,S 7TH ST,30,3030,NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.196363,38.617599,St. Louis
-90.187391,38.628589,36,269,1631,4TLONB,4TH STREET @ LOCUST NB,N 4TH ST,LOCUST ST,40,3040,FS,NO,YES,YES,NO,YES,YES,29510,ST LOUIS,-90.187391,38.628589,St. Louis
-90.186817,38.6298880000001,37,269,1632,4TWANB,4TH STREET @ WASHINGTON NB,N 4TH ST,WASHINGTON AVE,40,3040,FS,NO,NO,NO,YES,YES,YES,29510,ST LOUIS CITY,-90.186817,38.629888,St. Louis
-90.1933109999999,38.6290920000001,38,269,1642,9TLONB,9TH STREET @ LOCUST NB,N 9TH ST,LOCUST ST,32,3032,NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.193311,38.629092,St. Louis
-90.19247,38.63172,39,269,1644,9TWANB,9TH STREET @ LUCAS NB,N 9TH ST,LUCAS AVE,32,3032,FS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.19247,38.63172,St. Louis
-90.1915289999999,38.634194,40,269,1648,9TCONB,9TH STREET @ COLE NB,N 9TH ST,COLE ST,32,3032,NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.191529,38.634194,St. Louis
-90.2013719999999,38.6193440000001,41,269,1649,TKCHNB,TUCKER @ CHOUTEAU NB,S TUCKER BLVD,CHOUTEAU AVE,73,3073,FS,NO,NO,NO,YES,NO,NO,29510,ST LOUIS CITY,-90.201372,38.619344,St. Louis
-90.1990929999999,38.6249950000001,42,269,1650,TUCLNB,TUCKER @ CLARK NB,S TUCKER BLVD,CLARK AVE,"19, 97","3019, 3097",NS,NO,YES,YES,NO,YES,YES,29510,ST LOUIS,-90.199093,38.624995,St. Louis
-90.1975209999999,38.629221,43,269,1652,TUPINB,TUCKER @ PINE NB,N TUCKER BLVD,PINE ST,"19, 97","3019, 3097",FS,NO,YES,YES,YES,YES,YES,29510,ST LOUIS,-90.197521,38.629221,St. Louis
-90.195163,38.6359620000001,44,269,1656,TKCONB,TUCKER @ COLE NB,N TUCKER BLVD,COLE ST,19,3019,FS,NO,NO,NO,YES,YES,YES,29510,ST LOUIS CITY,-90.195163,38.635962,St. Louis
-90.197165,38.6310750000001,45,269,1660,TUSTSB,TUCKER @ ST. CHARLES SB,N TUCKER BLVD,ST CHARLES ST,"19, 97","3019, 3097",FS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.197165,38.631075,St. Louis
-90.1977909999999,38.6292970000001,46,269,1661,TUPISB,TUCKER @ PINE SB,N TUCKER BLVD,PINE ST,"19, 97","3019, 3097",NS,NO,NO,NO,YES,YES,YES,29510,ST LOUIS,-90.197791,38.629297,St. Louis
-90.198269,38.6272960000001,47,269,1662,TUMANB,TUCKER @ MARKET NB,S TUCKER BLVD,MARKET ST,"19, 97","3019, 3097",NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.198269,38.627296,St. Louis
-90.199581,38.6245690000001,48,269,1663,TUSPSB,TUCKER @ SPRUCE SB,S TUCKER BLVD,SPRUCE ST,"19, 97","3019, 3097",NS,NO,YES,YES,NO,YES,YES,29510,ST LOUIS,-90.199581,38.624569,St. Louis
-90.192939,38.6338670000001,49,269,1664,10MLSB,10TH STREET @ DR ML KING SB,N 10TH ST,DR MARTIN LUTHER KING DR,32,3032,NS,NO,NO,NO,NO,YES,NO,29510,ST LOUIS,-90.192939,38.633867,St. Louis
-90.1935339999999,38.632052,50,269,1665,10LCSB,10TH STREET @ LUCAS SB,N 10TH ST,LUCAS AVE,32,3032,NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.193534,38.632052,St. Louis
-90.187482,38.631763,51,269,1680,BWCPSB,BROADWAY @ CONVENTION PLAZA SB,BROADWAY,CONVENTION PLZ,40,3040,NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.187482,38.631763,St. Louis
-90.188506,38.628946,52,269,1682,BRLCSB,BROADWAY @ LOCUST SB,N BROADWAY,LOCUST ST,40,3040,NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.188506,38.628946,St. Louis
-90.194399,38.6152450000001,53,269,1693,BWHISB,BROADWAY @ HICKORY SB,S BROADWAY,HICKORY ST,30,3030,NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.194399,38.615245,St. Louis
-90.245436,38.6157040000001,54,269,1712,SH39WB,SHAW @ 39TH STREET WB,SHAW BLVD,S 39TH ST,8,3008,FS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.245436,38.615704,St. Louis
-90.247687,38.61591,55,269,1713,SHLWWB,SHAW @ LAWRENCE WB,SHAW BLVD,LAWRENCE ST,8,3008,NS,NO,NO,NO,NO,NO,YES,29510,ST LOUIS,-90.247687,38.61591,St. Louis
-90.250374,38.6161500000001,56,269,1714,SHTHWB,SHAW @ THURMAN WB,SHAW BLVD,THURMAN AVE,8,3008,NS,NO,NO,NO,NO,YES,YES,29510,ST LOUIS,-90.250374,38.61615,St. Louis
-90.25341,38.6164430000001,57,269,1715,SHKLWB,SHAW @ KLEMM WB,SHAW BLVD,KLEMM ST,8,3008,NS,NO,NO,NO,NO,NO,YES,29510,ST LOUIS,-90.25341,38.616443,St. Louis
