epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0135,1.34249,3.63041,1.16171,0.97077,0.08505,0.25517,0.18359,1.18043,3.42408,1.01331,0.000326923,0.000326923,0.000326923
2,51.6652,1.29041,2.21866,1.12978,0.89031,0.33631,0.53189,0.33983,1.24248,2.36042,1.09376,0.000657642,0.000657642,0.000657642
3,73.8362,1.25534,1.84714,1.11074,0.72017,0.52515,0.56346,0.35535,1.27403,1.5625,1.15612,0.000985721,0.000985721,0.000985721
4,93.3006,1.26229,1.73213,1.12297,0.70564,0.49458,0.56557,0.31944,1.27628,2.05427,1.14044,0.00098812,0.00098812,0.00098812
5,112.976,1.27226,1.59363,1.12278,0.77137,0.60644,0.66673,0.41149,1.17643,1.29256,1.08206,0.00098416,0.00098416,0.00098416
6,133.024,1.19561,1.43646,1.10024,0.70131,0.5065,0.57553,0.33573,1.31028,1.5749,1.14696,0.0009802,0.0009802,0.0009802
7,153.284,1.18122,1.37173,1.08373,0.77714,0.5219,0.61895,0.39282,1.24671,1.35146,1.16341,0.00097624,0.00097624,0.00097624
8,174.808,1.19537,1.33715,1.08037,0.86457,0.61074,0.71974,0.46816,1.13396,1.08882,1.0791,0.00097228,0.00097228,0.00097228
9,194.553,1.14944,1.25934,1.07277,0.78213,0.60874,0.68947,0.44105,1.16063,1.16403,1.06978,0.00096832,0.00096832,0.00096832
10,214.462,1.15404,1.18904,1.07806,0.84766,0.64218,0.73045,0.46461,1.13193,1.01924,1.08273,0.00096436,0.00096436,0.00096436
11,233.641,1.16618,1.19798,1.0663,0.76771,0.65682,0.72062,0.46688,1.11006,1.05345,1.06891,0.0009604,0.0009604,0.0009604
12,254.157,1.1404,1.12191,1.0591,0.82326,0.64769,0.73701,0.47403,1.15524,1.02283,1.08849,0.00095644,0.00095644,0.00095644
13,275.47,1.1455,1.10674,1.06084,0.86708,0.66871,0.76171,0.49812,1.06351,0.91165,1.02598,0.00095248,0.00095248,0.00095248
14,295.286,1.1193,1.04574,1.05571,0.84306,0.66881,0.75799,0.49896,1.08467,0.94488,1.04193,0.00094852,0.00094852,0.00094852
15,314.576,1.11395,1.0437,1.05177,0.81712,0.69646,0.77353,0.4952,1.08191,0.89803,1.02082,0.00094456,0.00094456,0.00094456
16,334.582,1.11551,1.01752,1.05169,0.82121,0.67369,0.75202,0.48366,1.12938,1.01208,1.05216,0.0009406,0.0009406,0.0009406
17,354.69,1.08539,0.97294,1.02479,0.78721,0.69792,0.75386,0.50991,1.05719,0.86481,1.04609,0.00093664,0.00093664,0.00093664
18,376.429,1.07183,0.96515,1.04275,0.83656,0.68188,0.77315,0.49741,1.10441,0.90256,1.04476,0.00093268,0.00093268,0.00093268
19,396.835,1.06074,0.93922,1.01565,0.86704,0.63022,0.75494,0.49886,1.06524,0.95583,1.02144,0.00092872,0.00092872,0.00092872
20,416.445,1.05551,0.92596,1.01975,0.85166,0.69855,0.77541,0.51502,1.06894,0.86615,1.04019,0.00092476,0.00092476,0.00092476
21,436.099,1.05757,0.92189,1.02174,0.83069,0.68456,0.76194,0.51327,1.04095,0.91638,1.02222,0.0009208,0.0009208,0.0009208
22,457.204,1.06373,0.9043,1.02863,0.81932,0.69635,0.77433,0.50089,1.08072,0.87811,1.04638,0.00091684,0.00091684,0.00091684
23,478.247,1.05785,0.87374,1.01605,0.81558,0.73439,0.7938,0.51201,1.06571,0.83006,1.02135,0.00091288,0.00091288,0.00091288
24,498.29,1.04281,0.85439,1.01528,0.89643,0.67362,0.7881,0.52977,1.05922,0.82192,1.02622,0.00090892,0.00090892,0.00090892
25,517.953,1.03959,0.85302,1.01828,0.82101,0.71122,0.78578,0.52597,1.04405,0.84659,1.01947,0.00090496,0.00090496,0.00090496
26,537.591,1.03259,0.83116,1.00645,0.79408,0.75543,0.8059,0.53588,1.01075,0.77705,1.01158,0.000901,0.000901,0.000901
27,559.474,1.03606,0.83775,1.01366,0.85274,0.71655,0.79718,0.5222,1.03557,0.85019,1.02388,0.00089704,0.00089704,0.00089704
28,579.782,1.01476,0.8192,1.00241,0.85007,0.70251,0.78219,0.51655,1.03846,0.8471,1.01478,0.00089308,0.00089308,0.00089308
29,599.471,1.03484,0.81174,0.9928,0.87035,0.68955,0.79625,0.53794,1.02683,0.81232,1.00113,0.00088912,0.00088912,0.00088912
30,619.495,1.02586,0.82781,1.00957,0.86219,0.71979,0.80104,0.54455,1.01056,0.78949,1.00664,0.00088516,0.00088516,0.00088516
31,639.433,1.01666,0.7838,1.00397,0.86199,0.72231,0.81339,0.53534,1.02998,0.78714,1.00597,0.0008812,0.0008812,0.0008812
32,661.025,1.00709,0.77982,1.00227,0.89042,0.71697,0.81145,0.53875,1.02409,0.75885,1.01875,0.00087724,0.00087724,0.00087724
33,680.746,0.98578,0.77323,1.00148,0.84765,0.75407,0.82494,0.55291,1.00859,0.74423,1.0019,0.00087328,0.00087328,0.00087328
34,700.124,1.00865,0.77506,1.00042,0.82734,0.75347,0.81268,0.52995,1.02809,0.84346,1.01939,0.00086932,0.00086932,0.00086932
35,719.502,1.00618,0.77552,0.98583,0.85605,0.75256,0.81915,0.54161,1.04045,0.79059,1.01921,0.00086536,0.00086536,0.00086536
36,738.729,0.99034,0.76523,0.99155,0.83943,0.7414,0.81303,0.53304,1.02048,0.76176,1.00461,0.0008614,0.0008614,0.0008614
37,759.074,0.98977,0.73592,0.98866,0.85916,0.77688,0.83071,0.54289,1.03565,0.72482,1.00162,0.00085744,0.00085744,0.00085744
38,779.103,0.98987,0.74077,0.99362,0.89336,0.71865,0.81144,0.54341,1.03922,0.77388,1.02055,0.00085348,0.00085348,0.00085348
39,799.079,0.97068,0.74549,0.98409,0.85992,0.75292,0.82649,0.55549,0.99456,0.72003,0.99687,0.00084952,0.00084952,0.00084952
