epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0315,1.46201,3.41768,1.11003,0.00434,0.37314,0.18099,0.10799,1.36769,3.58568,0.98757,0.000407801,0.000407801,0.000407801
2,42.9148,1.43465,2.25701,1.0749,0.87846,0.15192,0.30118,0.19211,1.52424,3.03859,1.17668,0.000821747,0.000821747,0.000821747
3,62.8726,1.37209,1.88788,1.07378,0.58826,0.36091,0.38374,0.23057,1.53657,2.17309,1.18643,0.00123294,0.00123294,0.00123294
4,82.1069,1.38486,1.80321,1.0903,0.69849,0.438,0.51288,0.32578,1.33609,1.52313,1.09673,0.00123763,0.00123763,0.00123763
5,101.471,1.32484,1.57667,1.07193,0.65508,0.49149,0.54088,0.33994,1.35096,1.53977,1.07458,0.0012335,0.0012335,0.0012335
6,120.318,1.29121,1.47966,1.04574,0.69666,0.49412,0.55425,0.34579,1.37686,1.38494,1.11902,0.00122937,0.00122937,0.00122937
7,139.829,1.28336,1.39277,1.06129,0.71877,0.48947,0.55354,0.36338,1.32501,1.23333,1.09122,0.00122525,0.00122525,0.00122525
8,159.393,1.28959,1.34659,1.0612,0.68814,0.52916,0.6031,0.39275,1.27569,1.36657,1.03978,0.00122112,0.00122112,0.00122112
9,179.355,1.20427,1.22151,1.01942,0.85683,0.49662,0.60187,0.4042,1.2262,1.18958,1.05342,0.001217,0.001217,0.001217
10,198.499,1.20148,1.19658,1.02295,0.79135,0.58865,0.65377,0.4141,1.20494,1.15336,1.01397,0.00121287,0.00121287,0.00121287
11,217.505,1.20581,1.13757,1.02895,0.79952,0.55853,0.64912,0.42607,1.23113,1.06003,1.0327,0.00120875,0.00120875,0.00120875
12,237.029,1.17884,1.08991,1.03008,0.7524,0.55855,0.64694,0.43382,1.16874,1.0653,0.9957,0.00120462,0.00120462,0.00120462
13,256.446,1.16136,1.07292,1.01698,0.82723,0.5758,0.68296,0.45252,1.17567,0.9989,1.00336,0.0012005,0.0012005,0.0012005
14,275.749,1.17713,1.0581,1.01,0.81303,0.58396,0.67575,0.45423,1.12215,0.97053,0.98453,0.00119637,0.00119637,0.00119637
15,294.093,1.17106,1.00689,0.99392,0.76724,0.62232,0.67953,0.44775,1.16854,1.05005,1.01196,0.00119225,0.00119225,0.00119225
16,311.253,1.16849,0.98549,1.00904,0.83778,0.59657,0.69692,0.46794,1.18408,0.94148,1.02003,0.00118812,0.00118812,0.00118812
17,328.86,1.11928,0.93959,0.98699,0.81643,0.63196,0.71264,0.48299,1.13342,0.91058,0.9856,0.001184,0.001184,0.001184
18,346.364,1.10998,0.91892,0.98863,0.79265,0.61994,0.70432,0.47275,1.1488,0.94985,0.99543,0.00117988,0.00117988,0.00117988
19,363.594,1.09184,0.91657,0.97397,0.81683,0.61606,0.69759,0.46714,1.12904,0.94541,1.00111,0.00117575,0.00117575,0.00117575
20,380.913,1.08311,0.89256,0.98408,0.79267,0.64401,0.71658,0.48433,1.12947,0.91823,0.98931,0.00117163,0.00117163,0.00117163
21,397.633,1.09301,0.88842,0.98238,0.82969,0.62808,0.71853,0.4849,1.14687,0.90897,0.99267,0.0011675,0.0011675,0.0011675
22,414.597,1.07669,0.87539,0.97299,0.76893,0.61873,0.68168,0.45617,1.14132,0.94965,0.98359,0.00116337,0.00116337,0.00116337
23,431.666,1.10069,0.87709,0.98337,0.80947,0.64218,0.71573,0.48554,1.1259,0.90084,0.98292,0.00115925,0.00115925,0.00115925
24,448.807,1.10316,0.88298,0.987,0.81186,0.61094,0.68665,0.47726,1.12723,0.96321,0.9962,0.00115513,0.00115513,0.00115513
25,466.529,1.06156,0.83401,0.96737,0.83996,0.63922,0.72399,0.49318,1.09822,0.91935,0.98848,0.001151,0.001151,0.001151
26,484.056,1.06806,0.83574,0.97117,0.83391,0.60523,0.69191,0.47622,1.15667,0.97035,0.99475,0.00114688,0.00114688,0.00114688
