epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.63335,0.95919,3.6637,0.98919,0.37263,0.134,0.22997,0.17885,0.86513,3.20062,0.99247,0.00012221,0.00012221,0.00012221
2,14.7215,0.96108,3.11305,0.994,0.39085,0.39483,0.36754,0.2867,0.89245,2.54028,1.00419,0.000254687,0.000254687,0.000254687
3,19.1558,0.98736,2.48175,0.99974,0.39929,0.62721,0.55159,0.4261,0.91751,1.94585,1.02094,0.000386284,0.000386284,0.000386284
4,23.5288,0.9978,2.01666,1.00335,0.59523,0.67257,0.72057,0.54203,0.99417,1.82861,1.04321,0.000517001,0.000517001,0.000517001
5,27.8556,0.99452,1.57756,0.99226,0.74205,0.75776,0.77893,0.5776,0.9371,1.51049,1.02649,0.000646838,0.000646838,0.000646838
6,32.2223,1.00371,1.40443,1.00207,0.88083,0.71084,0.80573,0.59078,0.94031,1.25227,1.01202,0.000775795,0.000775795,0.000775795
7,36.5283,0.94382,1.26022,0.97194,0.80593,0.77514,0.82072,0.59668,0.95354,1.19996,1.00241,0.000903872,0.000903872,0.000903872
8,40.6238,0.95559,1.1478,0.93883,0.86912,0.76833,0.8253,0.61446,0.95822,1.11908,0.99689,0.00103107,0.00103107,0.00103107
9,44.7482,0.94099,1.11034,0.96153,0.89878,0.73803,0.83949,0.6164,0.98264,0.99225,0.99454,0.00108167,0.00108167,0.00108167
10,48.8301,0.93105,1.03013,0.94346,0.84367,0.8091,0.83705,0.60082,1.01994,0.93588,1.0068,0.001078,0.001078,0.001078
11,52.8561,0.95134,1.01662,0.9376,0.89021,0.78696,0.85042,0.6273,1.01217,0.87687,1.00482,0.00107434,0.00107434,0.00107434
12,57.1694,0.94235,1.00146,0.94295,0.8756,0.83973,0.87503,0.63375,0.98565,0.8335,0.98208,0.00107067,0.00107067,0.00107067
13,61.4808,0.94495,1.05343,0.93146,0.89856,0.80954,0.87565,0.62957,1.01391,0.81345,1.00563,0.001067,0.001067,0.001067
14,65.8965,0.98365,0.99108,0.95295,0.92243,0.81889,0.88061,0.63796,0.98935,0.7805,0.99997,0.00106334,0.00106334,0.00106334
15,70.1363,0.9331,0.90876,0.93959,0.84037,0.85709,0.88538,0.62358,0.98685,0.78654,0.99117,0.00105967,0.00105967,0.00105967
16,75.319,0.91336,0.95676,0.93355,0.88233,0.82214,0.88281,0.62639,0.9822,0.79262,0.98965,0.00105601,0.00105601,0.00105601
17,79.6187,0.94036,0.90003,0.93486,0.90044,0.83021,0.88027,0.62648,0.98133,0.7914,0.98638,0.00105234,0.00105234,0.00105234
18,84.1048,0.96103,0.91425,0.94779,0.92221,0.78771,0.88186,0.6342,0.97827,0.86237,0.98299,0.00104867,0.00104867,0.00104867
19,89.3486,0.88416,0.84522,0.92171,0.899,0.82053,0.88661,0.63634,0.96438,0.79181,0.98134,0.00104501,0.00104501,0.00104501
20,93.9118,0.92098,0.83334,0.92462,0.95207,0.78625,0.88368,0.6383,0.96729,0.77292,0.98108,0.00104134,0.00104134,0.00104134
21,98.5951,0.92281,0.84214,0.931,0.93406,0.82688,0.87992,0.62893,1.01252,0.77027,0.99357,0.00103767,0.00103767,0.00103767
22,103.368,0.91476,0.83207,0.91685,0.90155,0.83271,0.87793,0.61641,1.03466,0.81869,1.00071,0.00103401,0.00103401,0.00103401
23,108.101,0.91379,0.82343,0.92698,0.91901,0.80926,0.88152,0.62431,1.01505,0.74843,0.99989,0.00103034,0.00103034,0.00103034
24,112.522,0.89451,0.78823,0.92869,0.87003,0.82154,0.8762,0.6256,0.99249,0.79163,0.99064,0.00102668,0.00102668,0.00102668
25,116.988,0.91657,0.81009,0.91941,0.85183,0.82668,0.88124,0.63219,0.98597,0.77247,0.98323,0.00102301,0.00102301,0.00102301
26,121.269,0.88039,0.77335,0.91363,0.87618,0.84114,0.88697,0.64027,0.98845,0.76753,0.98502,0.00101934,0.00101934,0.00101934
27,125.491,0.87417,0.75193,0.88726,0.86991,0.83068,0.88195,0.63799,0.98141,0.75429,0.99941,0.00101568,0.00101568,0.00101568
28,129.568,0.87759,0.76527,0.91974,0.88059,0.80977,0.88606,0.62627,1.00942,0.75348,1.00253,0.00101201,0.00101201,0.00101201
29,133.644,0.85807,0.76485,0.9173,0.87373,0.85727,0.89679,0.63527,1.00356,0.71269,0.99518,0.00100834,0.00100834,0.00100834
30,137.826,0.87157,0.72835,0.91617,0.9282,0.80134,0.8932,0.63291,1.01488,0.69438,0.99122,0.00100468,0.00100468,0.00100468
31,142.131,0.90331,0.75146,0.92459,0.85163,0.83908,0.8927,0.64212,0.99119,0.71055,0.98622,0.00100101,0.00100101,0.00100101
32,146.319,0.83524,0.70522,0.9096,0.92586,0.80971,0.89273,0.64202,0.96164,0.6943,0.97287,0.000997345,0.000997345,0.000997345
33,150.553,0.87092,0.69841,0.90851,0.8978,0.8346,0.89181,0.64834,0.96476,0.71711,0.97367,0.000993678,0.000993678,0.000993678
34,154.727,0.87525,0.72309,0.91614,0.88889,0.84351,0.88912,0.63944,0.971,0.72002,0.9766,0.000990012,0.000990012,0.000990012
35,158.677,0.84166,0.70887,0.90477,0.90828,0.79841,0.87921,0.63956,0.95168,0.70774,0.97601,0.000986346,0.000986346,0.000986346
36,162.97,0.82024,0.67182,0.91184,0.86021,0.82972,0.88704,0.64738,0.95747,0.68766,0.97313,0.000982679,0.000982679,0.000982679
37,166.938,0.8335,0.70264,0.89262,0.85921,0.84795,0.88722,0.64599,0.96453,0.70666,0.98381,0.000979013,0.000979013,0.000979013
38,171.19,0.87715,0.68673,0.90301,0.88923,0.83529,0.88431,0.64277,0.96784,0.71321,0.99014,0.000975347,0.000975347,0.000975347
39,175.093,0.83979,0.67994,0.90923,0.88937,0.8335,0.87922,0.6156,1.00132,0.72585,1.0059,0.000971681,0.000971681,0.000971681
40,178.974,0.79985,0.6706,0.90586,0.87305,0.83357,0.87607,0.6184,0.98996,0.71823,1.00251,0.000968014,0.000968014,0.000968014
41,182.965,0.7941,0.67565,0.89143,0.90783,0.80598,0.88146,0.63238,0.97416,0.77384,0.99112,0.000964348,0.000964348,0.000964348
42,187.051,0.83397,0.66855,0.89601,0.93952,0.79045,0.87118,0.61374,0.9716,0.84625,0.98653,0.000960682,0.000960682,0.000960682
43,191.055,0.80897,0.67219,0.9015,0.8356,0.79776,0.83775,0.60941,0.96411,0.8255,0.99304,0.000957015,0.000957015,0.000957015
44,194.97,0.79323,0.71098,0.91752,0.83726,0.81143,0.85311,0.61925,0.98043,0.74868,1.0014,0.000953349,0.000953349,0.000953349
45,199.093,0.82128,0.6719,0.90797,0.82954,0.82964,0.87172,0.62067,0.99741,0.71723,1.00651,0.000949683,0.000949683,0.000949683
46,203.853,0.84854,0.66783,0.91776,0.89629,0.78419,0.87214,0.60771,0.99943,0.73042,0.99301,0.000946016,0.000946016,0.000946016
47,208.542,0.83123,0.66603,0.89351,0.84859,0.81976,0.86918,0.6023,1.01447,0.76587,1.00014,0.00094235,0.00094235,0.00094235
48,212.904,0.82116,0.64771,0.89597,0.88796,0.82699,0.89405,0.6257,0.98198,0.73944,0.98269,0.000938684,0.000938684,0.000938684
49,217.168,0.86584,0.67094,0.9181,0.86399,0.84395,0.89885,0.62299,1.03,0.69234,0.99563,0.000935018,0.000935018,0.000935018
50,223.241,0.82746,0.65572,0.91031,0.9029,0.82207,0.89078,0.63139,0.99131,0.69429,0.99004,0.000931351,0.000931351,0.000931351
51,227.574,0.80954,0.64269,0.9036,0.8408,0.84373,0.88217,0.63488,0.99338,0.69253,0.99183,0.000927685,0.000927685,0.000927685
52,231.886,0.84138,0.63674,0.90146,0.86242,0.84345,0.88701,0.63574,0.9836,0.69545,0.97753,0.000924019,0.000924019,0.000924019
53,237.346,0.83828,0.6739,0.89535,0.87399,0.83852,0.8865,0.62807,0.98377,0.69546,0.97848,0.000920352,0.000920352,0.000920352
54,241.456,0.81413,0.62386,0.86804,0.87503,0.82849,0.88515,0.62126,0.98124,0.70398,0.98324,0.000916686,0.000916686,0.000916686
55,245.65,0.81073,0.6167,0.89505,0.87019,0.83275,0.88812,0.64372,0.97621,0.70642,0.99319,0.00091302,0.00091302,0.00091302
56,249.77,0.78905,0.61443,0.88386,0.8889,0.80799,0.88713,0.64112,0.97326,0.71904,0.98191,0.000909353,0.000909353,0.000909353
57,253.751,0.79443,0.61737,0.88836,0.92859,0.79365,0.88858,0.63914,0.9825,0.73457,0.98621,0.000905687,0.000905687,0.000905687
58,258.66,0.78962,0.59174,0.88456,0.92507,0.79367,0.87528,0.62985,0.97955,0.79965,0.97925,0.000902021,0.000902021,0.000902021
59,263.056,0.77443,0.58507,0.88209,0.90884,0.79253,0.87326,0.63896,0.96517,0.76152,0.97846,0.000898355,0.000898355,0.000898355
60,267.125,0.77138,0.59077,0.88419,0.87592,0.82178,0.86928,0.63177,0.98256,0.72991,0.98977,0.000894688,0.000894688,0.000894688
61,271.442,0.79346,0.60785,0.88054,0.9162,0.77481,0.85984,0.62343,0.98019,0.73897,0.98127,0.000891022,0.000891022,0.000891022
