epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.72898,1.03028,4.18145,1.03096,0.98751,0.06371,0.13909,0.11293,1.00134,3.29928,1.03174,0.00021658,0.00021658,0.00021658
2,14.2898,1.0546,3.29334,1.01299,0.85363,0.20754,0.32361,0.24546,1.05874,2.24459,1.02924,0.000440397,0.000440397,0.000440397
3,19.7491,1.04465,2.37607,1.00914,0.87602,0.32013,0.44627,0.33241,1.03473,1.53684,1.02698,0.000663101,0.000663101,0.000663101
4,25.3828,1.06267,1.95534,0.99683,0.61058,0.46238,0.51026,0.37246,1.05975,1.27054,1.0274,0.000826815,0.000826815,0.000826815
5,31.5012,1.05767,1.69526,0.99415,0.71956,0.54191,0.57331,0.39714,1.09282,1.18544,1.03417,0.000824753,0.000824753,0.000824753
6,38.0677,1.01139,1.49322,0.99037,0.74721,0.57451,0.60775,0.42711,1.03742,1.12177,1.00021,0.000822692,0.000822692,0.000822692
7,44.7904,0.95562,1.30011,0.98399,0.87187,0.57193,0.64889,0.45775,1.09253,1.064,1.03069,0.00082063,0.00082063,0.00082063
8,51.3389,0.99193,1.26941,0.97703,0.84938,0.61052,0.65597,0.46365,1.0317,1.08399,1.00702,0.000818568,0.000818568,0.000818568
9,57.9985,0.99531,1.16808,0.9815,0.89434,0.60124,0.67369,0.46359,1.06937,1.08129,1.02618,0.000816507,0.000816507,0.000816507
10,64.7013,0.98878,1.14969,0.97968,0.87243,0.64693,0.6959,0.48272,1.03745,0.97438,1.00396,0.000814445,0.000814445,0.000814445
11,71.1304,0.94109,1.10631,0.95409,0.84021,0.6121,0.68368,0.48535,1.01178,0.96789,0.99491,0.000812383,0.000812383,0.000812383
12,77.4504,0.92603,1.043,0.9644,0.89142,0.6194,0.69699,0.48701,1.02192,0.95643,1.0009,0.000810322,0.000810322,0.000810322
13,83.8438,0.9822,1.03194,0.96362,0.89722,0.63999,0.68946,0.47402,1.05756,1.02787,1.01874,0.00080826,0.00080826,0.00080826
14,89.8951,0.90976,0.97094,0.95766,0.91939,0.63841,0.70238,0.48056,1.06288,0.95098,1.01351,0.000806198,0.000806198,0.000806198
15,96.4327,0.92985,1.0026,0.96458,0.89829,0.64441,0.70618,0.49903,1.05144,0.92811,1.01178,0.000804137,0.000804137,0.000804137
16,102.067,0.92447,0.8929,0.95719,0.8779,0.6713,0.72069,0.50551,1.0191,0.91984,0.99716,0.000802075,0.000802075,0.000802075
17,107.648,0.93377,0.92001,0.95529,0.84723,0.62694,0.68905,0.48817,1.06779,0.98381,1.01664,0.000800013,0.000800013,0.000800013
18,113.908,0.90858,0.90561,0.94886,0.84429,0.67154,0.71002,0.48428,1.01682,0.92769,1.00273,0.000797952,0.000797952,0.000797952
19,119.775,0.93544,0.92458,0.94905,0.9017,0.64351,0.72053,0.51412,0.99053,0.92229,0.99065,0.00079589,0.00079589,0.00079589
20,125.773,0.92999,0.89386,0.96302,0.88287,0.64339,0.72027,0.49701,1.0252,0.90963,0.99499,0.000793828,0.000793828,0.000793828
21,132.762,0.92042,0.86823,0.95106,0.87788,0.64166,0.72165,0.52117,1.00929,0.96679,1.00303,0.000791767,0.000791767,0.000791767
22,138.815,0.88531,0.84888,0.95643,0.91819,0.62339,0.71804,0.50264,1.01898,0.90521,0.99473,0.000789705,0.000789705,0.000789705
23,144.982,0.91917,0.85529,0.95705,0.85753,0.65723,0.72676,0.52199,1.00009,0.87957,0.99089,0.000787643,0.000787643,0.000787643
24,151.279,0.89854,0.82502,0.9636,0.88768,0.64733,0.75181,0.53086,1.01963,0.90429,1.01193,0.000785581,0.000785581,0.000785581
25,157.652,0.89358,0.83645,0.95527,0.92447,0.6214,0.74936,0.52059,1.03952,0.93393,1.01447,0.00078352,0.00078352,0.00078352
26,164.97,0.89355,0.81804,0.93315,0.89474,0.64262,0.74636,0.5275,1.01345,0.8933,1.00732,0.000781458,0.000781458,0.000781458
27,171.227,0.90352,0.83478,0.95095,0.89055,0.67625,0.74656,0.53076,1.04434,0.89187,1.01802,0.000779396,0.000779396,0.000779396
28,177.199,0.85712,0.77,0.94481,0.91722,0.60417,0.7181,0.50329,1.03986,0.89593,1.02735,0.000777335,0.000777335,0.000777335
29,183.163,0.90939,0.80733,0.94939,0.90634,0.64031,0.72976,0.52378,0.98638,0.8707,0.99966,0.000775273,0.000775273,0.000775273
30,189.233,0.86307,0.74254,0.93377,0.85475,0.6741,0.76717,0.53266,1.04694,0.87113,1.01987,0.000773211,0.000773211,0.000773211
31,195.856,0.8647,0.77218,0.93383,0.89985,0.6478,0.75423,0.52079,1.04927,0.90091,1.02643,0.00077115,0.00077115,0.00077115
32,201.649,0.90589,0.7994,0.95186,0.92053,0.64701,0.7397,0.51194,1.05346,0.91385,1.01451,0.000769088,0.000769088,0.000769088
33,207.405,0.87554,0.76379,0.94182,0.92239,0.63206,0.7851,0.54854,0.9948,0.81496,0.98045,0.000767026,0.000767026,0.000767026
34,213.34,0.85729,0.75955,0.9363,0.82257,0.73319,0.7773,0.54241,1.03734,0.82705,1.00659,0.000764965,0.000764965,0.000764965
35,219.154,0.85557,0.73243,0.93114,0.78795,0.73704,0.7763,0.55519,1.01509,0.8069,0.99511,0.000762903,0.000762903,0.000762903
36,225.231,0.87536,0.76651,0.95183,0.92113,0.64577,0.75073,0.5405,1.02509,0.88538,1.00193,0.000760841,0.000760841,0.000760841
37,231.629,0.84233,0.73184,0.939,0.90776,0.6477,0.74502,0.53797,1.04305,0.8815,1.01485,0.00075878,0.00075878,0.00075878
38,237.214,0.86807,0.72819,0.94333,0.81487,0.71497,0.76077,0.54984,1.01879,0.85641,1.00413,0.000756718,0.000756718,0.000756718
39,242.722,0.87648,0.73733,0.93593,0.856,0.72234,0.77882,0.5536,1.04952,0.83719,1.02262,0.000754656,0.000754656,0.000754656
40,249.292,0.86445,0.7326,0.93771,0.83891,0.71616,0.77708,0.54892,1.02392,0.83849,0.99867,0.000752595,0.000752595,0.000752595
41,255.65,0.84665,0.72203,0.92436,0.83416,0.7316,0.77372,0.55107,1.04004,0.84294,1.00059,0.000750533,0.000750533,0.000750533
42,262.591,0.87149,0.70539,0.9457,0.88998,0.65418,0.76539,0.54601,1.02816,0.89452,1.0079,0.000748471,0.000748471,0.000748471
43,269.146,0.86587,0.70847,0.9312,0.84739,0.73721,0.78491,0.54779,1.03824,0.85755,1.00358,0.00074641,0.00074641,0.00074641
44,275.456,0.88238,0.71928,0.93102,0.87248,0.69337,0.76555,0.53378,1.05367,0.84369,1.00247,0.000744348,0.000744348,0.000744348
45,281.727,0.84181,0.7156,0.93251,0.84444,0.67585,0.74802,0.52348,1.05899,0.97696,1.00636,0.000742286,0.000742286,0.000742286
46,288.291,0.87665,0.69223,0.93335,0.81355,0.7163,0.76981,0.5338,1.00631,0.79911,0.99965,0.000740225,0.000740225,0.000740225
47,295.312,0.84877,0.67817,0.91464,0.76005,0.78046,0.79855,0.55046,1.00952,0.79884,0.98877,0.000738163,0.000738163,0.000738163
48,301.336,0.83564,0.67198,0.92833,0.88301,0.71749,0.79906,0.55394,1.00051,0.79268,0.98599,0.000736101,0.000736101,0.000736101
49,306.713,0.81775,0.64264,0.91216,0.85354,0.73625,0.79948,0.55888,1.03402,0.81116,0.99752,0.00073404,0.00073404,0.00073404
50,312.552,0.85787,0.6814,0.91353,0.87094,0.74045,0.7866,0.53663,1.01029,0.83135,1.0004,0.000731978,0.000731978,0.000731978
51,318.78,0.85322,0.65875,0.91986,0.84738,0.7301,0.79459,0.54292,1.04181,0.797,1.01149,0.000729916,0.000729916,0.000729916
52,324.91,0.83863,0.68886,0.92001,0.8133,0.7278,0.76467,0.53591,1.01698,0.8156,0.99996,0.000727855,0.000727855,0.000727855
53,331.667,0.84345,0.67066,0.91563,0.89902,0.69942,0.78958,0.55427,1.00915,0.8239,1.00186,0.000725793,0.000725793,0.000725793
54,337.854,0.83164,0.64181,0.91119,0.93599,0.71595,0.80759,0.56507,1.02589,0.81039,1.00322,0.000723731,0.000723731,0.000723731
55,344.681,0.84065,0.65407,0.93449,0.85123,0.71311,0.77702,0.54804,1.01388,0.81883,0.99372,0.00072167,0.00072167,0.00072167
56,351.035,0.8652,0.66658,0.92313,0.88822,0.70016,0.78627,0.56017,1.02388,0.85098,0.99973,0.000719608,0.000719608,0.000719608
57,357.104,0.81244,0.65281,0.91849,0.84486,0.693,0.76625,0.55589,1.00809,0.87968,0.99363,0.000717546,0.000717546,0.000717546
58,363.359,0.81421,0.6605,0.90652,0.86595,0.68048,0.75815,0.54426,1.03174,0.92699,1.01647,0.000715485,0.000715485,0.000715485
