epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4742,1.4657,4.07043,1.23055,0.00744,0.35513,0.136,0.09306,1.17814,3.78145,1.0357,0.0001875,0.0001875,0.0001875
2,39.4495,1.38117,3.24444,1.12192,0.01026,0.40297,0.15468,0.1039,1.28368,3.69888,1.04942,0.000386221,0.000386221,0.000386221
3,56.0885,1.38925,2.47418,1.09267,0.91724,0.13686,0.21094,0.12313,1.35447,3.55145,1.07167,0.000583623,0.000583623,0.000583623
4,69.2377,1.44895,2.18812,1.13743,1,0.04062,0.34547,0.2263,1.33869,3.24021,1.11413,0.000779704,0.000779704,0.000779704
5,74.3259,1.43462,2.45938,1.12526,1,0.11168,0.44417,0.30476,1.27747,2.99568,1.10279,0.000974465,0.000974465,0.000974465
6,79.3999,1.3736,2.02008,1.12311,0.86672,0.21674,0.41098,0.24605,1.42264,2.90177,1.16743,0.00116791,0.00116791,0.00116791
7,84.2806,1.31175,1.75933,1.104,0.73953,0.41148,0.5342,0.29971,1.43524,2.44439,1.20534,0.00122525,0.00122525,0.00122525
8,89.3895,1.32466,1.71777,1.09837,0.54692,0.50089,0.48384,0.29927,1.34239,2.0895,1.14113,0.00122112,0.00122112,0.00122112
9,94.4322,1.25247,1.55056,1.05789,0.58373,0.43338,0.45547,0.29222,1.35123,2.18968,1.12348,0.001217,0.001217,0.001217
10,99.5614,1.26532,1.4954,1.08507,0.58705,0.57511,0.59584,0.36942,1.29764,1.72099,1.10818,0.00121287,0.00121287,0.00121287
11,104.516,1.2504,1.50578,1.06982,0.70161,0.57514,0.63241,0.40052,1.22317,1.52513,1.08419,0.00120875,0.00120875,0.00120875
12,109.508,1.27243,1.48248,1.05355,0.63299,0.63503,0.61371,0.36831,1.22829,1.60768,1.07552,0.00120462,0.00120462,0.00120462
13,114.553,1.24778,1.42453,1.04981,0.67557,0.55758,0.59178,0.36713,1.35575,1.5856,1.14154,0.0012005,0.0012005,0.0012005
14,119.55,1.23377,1.35114,1.05689,0.62528,0.58564,0.61268,0.38012,1.30738,1.59254,1.10809,0.00119637,0.00119637,0.00119637
15,124.549,1.19971,1.33452,1.04201,0.71657,0.67699,0.67637,0.4124,1.26616,1.27446,1.09219,0.00119225,0.00119225,0.00119225
16,129.997,1.19255,1.35524,1.05942,0.67621,0.68322,0.71402,0.45798,1.17294,1.24745,1.04922,0.00118812,0.00118812,0.00118812
17,135.422,1.18002,1.25784,1.04995,0.74665,0.65641,0.71456,0.45729,1.21387,1.19547,1.06026,0.001184,0.001184,0.001184
18,140.469,1.19384,1.21925,1.05801,0.7559,0.69024,0.73234,0.47,1.21137,1.14946,1.06655,0.00117988,0.00117988,0.00117988
19,145.559,1.16415,1.23182,1.0355,0.74046,0.7001,0.72478,0.4558,1.22617,1.22177,1.0659,0.00117575,0.00117575,0.00117575
20,150.679,1.12584,1.14132,1.00829,0.73579,0.69086,0.73419,0.44572,1.25252,1.24746,1.08887,0.00117163,0.00117163,0.00117163
21,155.703,1.14299,1.1625,1.02963,0.75457,0.7062,0.75708,0.5025,1.17261,1.09386,1.07577,0.0011675,0.0011675,0.0011675
22,160.699,1.15791,1.14322,1.03504,0.76113,0.72614,0.74982,0.5079,1.16312,1.2031,1.06315,0.00116337,0.00116337,0.00116337
23,167.937,1.16084,1.0968,1.03745,0.7824,0.63054,0.7021,0.45796,1.16762,1.22888,1.06553,0.00115925,0.00115925,0.00115925
24,173.739,1.11852,1.05825,1.02972,0.74805,0.7053,0.73058,0.49117,1.13721,1.12428,1.04235,0.00115513,0.00115513,0.00115513
