epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7893,1.44085,3.69487,1.12577,0.82132,0.15,0.17119,0.1227,1.1717,3.71926,0.94919,0.000327044,0.000327044,0.000327044
2,42.3631,1.33912,2.28978,1.06739,0.9787,0.17269,0.39907,0.27471,1.25902,2.69185,1.03795,0.000658509,0.000658509,0.000658509
3,61.3118,1.32395,1.96907,1.06831,0.77346,0.3368,0.41467,0.27076,1.33194,2.08596,1.10348,0.000988089,0.000988089,0.000988089
4,80.2549,1.34289,1.83398,1.08598,0.64371,0.39906,0.47501,0.31407,1.28663,1.5483,1.07154,0.000991514,0.000991514,0.000991514
5,99.2073,1.29959,1.69754,1.08053,0.74383,0.44408,0.53264,0.33755,1.27103,1.35312,1.06168,0.000988686,0.000988686,0.000988686
6,117.84,1.26664,1.57853,1.06347,0.71012,0.55548,0.59086,0.38105,1.1899,1.1835,1.02685,0.000985857,0.000985857,0.000985857
7,136.618,1.25719,1.4345,1.05151,0.6765,0.51482,0.57915,0.37993,1.15433,1.18713,1.00508,0.000983029,0.000983029,0.000983029
8,155.391,1.20915,1.33854,1.03647,0.71815,0.54059,0.59286,0.39537,1.15675,1.14738,1.00023,0.0009802,0.0009802,0.0009802
9,174.752,1.19679,1.27682,1.02659,0.73744,0.5715,0.62756,0.42188,1.11107,1.04132,0.97548,0.000977371,0.000977371,0.000977371
10,193.972,1.16975,1.22248,1.03123,0.74866,0.55184,0.61841,0.41112,1.15392,1.08739,1.00606,0.000974543,0.000974543,0.000974543
11,213.099,1.17489,1.17059,1.01211,0.74271,0.58497,0.63712,0.4224,1.11599,1.1756,0.99645,0.000971714,0.000971714,0.000971714
12,232.216,1.20101,1.1713,1.01882,0.7759,0.55757,0.63791,0.42385,1.09152,1.00856,0.97885,0.000968886,0.000968886,0.000968886
13,250.87,1.11873,1.07197,1.00426,0.75275,0.58735,0.65277,0.4336,1.07114,1.00956,0.97187,0.000966057,0.000966057,0.000966057
14,269.225,1.13439,1.0735,1.0174,0.79944,0.58857,0.65526,0.44098,1.06708,0.96947,0.97178,0.000963229,0.000963229,0.000963229
15,288.051,1.10334,1.01435,0.99883,0.84092,0.57251,0.66303,0.4475,1.07552,0.97253,0.9631,0.0009604,0.0009604,0.0009604
16,306.967,1.1161,1.00728,1.00251,0.74773,0.61568,0.66991,0.45348,1.03771,0.92508,0.96484,0.000957571,0.000957571,0.000957571
17,325.668,1.10748,0.96974,0.9947,0.8316,0.61129,0.67805,0.46086,1.05428,0.97796,0.96876,0.000954743,0.000954743,0.000954743
18,344.365,1.08649,0.93848,0.9909,0.86935,0.60174,0.68585,0.46842,1.04999,0.88583,0.95673,0.000951914,0.000951914,0.000951914
19,363.257,1.07804,0.9107,0.98938,0.82939,0.58865,0.66185,0.45696,1.05455,0.92606,0.97482,0.000949086,0.000949086,0.000949086
20,381.492,1.07202,0.92603,0.97708,0.77543,0.61884,0.67462,0.45828,1.04138,1.00313,0.9677,0.000946257,0.000946257,0.000946257
21,399.92,1.0695,0.88998,0.97985,0.87059,0.57302,0.68372,0.46211,1.03775,0.89252,0.94517,0.000943429,0.000943429,0.000943429
22,417.813,1.04895,0.88119,0.97047,0.83839,0.58554,0.67202,0.46425,1.00611,0.89047,0.95096,0.0009406,0.0009406,0.0009406
23,435.482,1.0607,0.89062,0.96937,0.78951,0.60515,0.67556,0.45148,1.04487,0.91324,0.95885,0.000937771,0.000937771,0.000937771
